price,product_name,rating
"24,999","Redmi K20 Pro (Flame Red 6GB RAM, 128GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI",4.3 out of 5 stars
,"itel A44 Air (Blusher Gold, 1GB RAM, 8GB Storage)",3.5 out of 5 stars
299,SBA999-B001 Wireless| Bluetooth | Headphones / Headset with Mic & Volume Button Earphone Compatible for Mi Note 5 Pro/TS Mi Note 5 Pro/mi 6 Pro/mi 6A/ mi Y2/ Mi A2,3.2 out of 5 stars
"16,990","OPPO A52 (Twilight Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",2.3 out of 5 stars
"27,490","OPPO Reno2 Z (Luminous Black, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",4.3 out of 5 stars
,"Lenovo K10 Note (Black, 64 GB) (4 GB RAM)",3.8 out of 5 stars
299,SBA999-B010 |Bluetooth| Earphone Wireless Headphones for Mobile Phone Sports Stereo/Running/Gyming |Bluetooth| Headset Compatible with All Devices,4.2 out of 5 stars
"29,499",Apple iPhone 7 (32GB) - Black,4.2 out of 5 stars
,"realme 5 Pro (Sparkling Blue, 4GB RAM, 64GB Storage)",4.2 out of 5 stars
"22,685","Vivo V15 Pro (Ruby Red, 6GB RAM, 128GB Storage)",4.3 out of 5 stars
,"Moto G6 (Indigo Black, 3GB RAM, 32GB Storage)",3.7 out of 5 stars
"21,999","Samsung Galaxy A31 (Prism Crush White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.4 out of 5 stars
,9/11 Phone Calls from the Towers,
"8,890","Alcatel 3X (Black, 32 GB) (3 GB RAM)",
"27,990","Vivo V19 (Mystic Silver, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
"13,162","OPPO A9 (Fluorite Purple, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.3 out of 5 stars
"16,999","Honor 9X (Midnight Black, 6+128GB Storage)-Pop up Front Camera & 48MP Triple Rear Camera",3.9 out of 5 stars
"24,999","Redmi K20 Pro (Pearl White, 6GB RAM, 128GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI",4.3 out of 5 stars
"21,990","OPPO Reno2 F (Lake Green, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.3 out of 5 stars
429,"SBA999 ABM405 M4 Bluetooth Wireless Smart Fitness Band for Boys/Men/Kids/Women | Sports Watch Compatible with Xiaomi, Oppo, Vivo Mobile Phone | Heart Rate and BP Monitor, Calories Counter",3.2 out of 5 stars
,"Nokia 6.2 (Ceramic Black, 4GB RAM, 64GB Storage)",3.6 out of 5 stars
999,"Mobile Phones & Accessories Phone Charger, USB, Battery, Mobile Cover, Memory Card, Power Bank, Etc. Data 2018",
"31,990","Vivo V19 (Mystic Silver, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
"18,499","Samsung Galaxy A21s (Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",2.6 out of 5 stars
"14,990","Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.9 out of 5 stars
